Article title,Year,Author(s),No. Author(s),Type of institution,Name of the institution(s),No. institution(s),Study area,No. Study area,Country of study,Region,Country Development level,Size of companies,Journal,Journal field,FI - SJR,Quartile SJR,FI - JIF,Quartile JCR,Keywords,Article approach,Methodology,Type,Orientation,Theory,Determinants,Barriers,Characteristic of sustainable value creation,CSV Related to other concepts and theories
Sustainability and legitimacy theory: The case of sustainable social and environmental practices of small and medium-sized enterprises,2021,"Crossley, R. M., Elmagrhi, M. H., Ntim, C. G.",3,University,"University of Leeds, Swansea University, University of Southampton",3,Accounting and Finance Division,1,United Kingdom,Europe,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"environmental performance, environmental policy and sustainability, legitimacy theory, SMEs, social and environmental practices, substantive and symbolic legitimation, UK",Qualitative,Survey,Survey,Descriptive,Theory of legitimacy,"Social commitment, reputation and image, environmental integration, industrial differentiation, educational facilitators","Lack of formal ethical codes, limited resources, lack of time, insufficient knowledge of SEP, less public pressure","Combination of symbolic and substantive strategies, positive impact on reputation and image, improvement of legitimacy and sustainability","Legitimacy theory, impression management, social capital, corporate social responsibility (CSR)"
Sustainability and Small to Medium Sized Enterprises - How to Engage Them,2004,"Condon, L.",1,University,Swinburne University of Technology,1,N/A,N/A,Australia,Australia,Developed,SMEs,Australian Journal of Environmental Education,Specific,"0,59",Q2,"2,2",Q1,"small and medium sized enterprises (SMEs), sustainability, environment, education, business, research, adult learning principles, action based research, sustainable practices, work-based learning models, change management, social marketing",Qualitative,Survey,Survey,Descriptive,"Knowles' principles of adult learning, Mezirow's transformative learning, McKenzie-Mohr's social marketing techniques","Commitment to sustainability, education and provision of information, incentives, establishment of community standards","Lack of understanding of environmental legislation, lack of resources and time, lack of interest in sustainability, perception of additional costs, lack of adequate staff","Innovation in sustainable practices, improving staff engagement and performance, attracting and retaining talent, reducing costs through environmental initiatives","Corporate social responsibility, intrinsic motivation, pro-environmental behavior change, community-based social marketing"
Conceptualizing businesses as social actors: A framework for understanding sustainability actions in small‐ and medium‐sized enterprises,2019,"Westman, L., Luederitz, C., Kundurpi, A., Mercado, A. J., Weber, O., Burch, S. L.",6,University,University of Waterloo,1,"Sprout Lab, Geography and Environmental Management, School of Environment, Enterprise and Development",2,Canada,North America,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"business sustainability, embeddedness, SMEs, social actor, social relationships",Qualitative,Survey,Survey,Descriptive,"Social actor, social capital, identity theory","Individual beliefs and values, internal and external social relationships, integration into the social environment","Lack of funding, time, staff, knowledge, business culture","Community engagement, employee well-being, fair purchasing practices","Social entrepreneurship, social capital, business sustainability"
Evaluating Sustainable Practices and Supply Chain Management Effectiveness in African Small and Medium-Sized Enterprises (SMEs),2024,"Okeke, A.",1,University,University of Cumbria,1,"Institute of Business, Industry and Leadership",1,"South Africa, Nigeria, Ghana, among others",Africa,"Developed, Developing",SMEs,Journal of Sustainability Research,General,"0,34",Q2,"1,15",Q2,"small and medium enterprises, sustainability practices, supply chain, Africa, resource-based view, stakeholder theory, economic growth, stakeholder support, competitiveness",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,Sustainable Supply Chain Management,"Strategic alignment, stakeholder support, internal capabilities","Inadequate infrastructure, fragmented markets, limited resources","Sustainability, cost reduction, resilience","Sustainability, supply chains, operational efficiency"
The Corporate Shared Value for Sustainable Development: An Ecosystem Perspective,2020,"Yang, T.-K., Yan, M.-R.",2,University,Chinese Culture University,1,College of Business,1,Taiwan,Asia,Developed,Large enterprises,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"ecosystem, creating shared value, corporate social responsibility, sustainable development, systems thinking, social innovation",Qualitative,Grounded theory,Interview,Descriptive,Systemic and ecosystemic thinking,"Inter-organizational relations, corporate sustainability",Lack of coordination between ecosystem actors,"Ecosystemic perspective, sustainability, systemic integration","Corporate social responsibility, corporate sustainability"
Creating Shared Value (CSV): The Sustainable Business Model,2019,"Rachmawati, T., Basuki, Hamidah",3,University,"Airlangga University, Airlangga University",2,Faculty of Economics and Business,1,N/A,N/A,N/A,N/A,"International Journal of Innovation, Creativity and Change",General,N/A,N/A,N/A,N/A,"creating shared value (CSV), corporate social responsibility (CSR), economic value, social value, sustainable business model",Theoretical,Literature review,Conceptual,Conceptual,"Triple bottom line (economic, social, environmental)","Implementation of sustainable practices, social integration, investment in employees, increased supply capacity","Lack of empirical data, limited operationalization of CSV, company costs, access to inputs, quality","Social, economic value, sustainable innovation","Corporate social responsibility, sustainability, business development"
Can Creating Shared Value (CSV) and the United Nations Sustainable Development Goals (UN SDGs) Collaborate for a BetterWorld? Insights from East Asia,2018,"Kim, R. C.",1,University,Ritsumeikan Asia Pacific University,1,College of International Management,1,"Japan, South Korea, China",Asia,Developed,Large enterprises,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"CSV, CSR, sustainability report, SDGs, East Asia",Theoretical,Content analysis,Literature review,Conceptual,"CSV-SDG relationship, sustainable development",Cultural and institutional contexts in East Asia,Lack of social-environmental integration,"Economy, sustainability, cultural integration","SDG, sustainability, CSR"
Effects of Strategy Characteristics for Sustainable Competitive Advantage in Sharing Economy Businesses on Creating Shared Value and Performance,2020,"Kang, S., Na, Y. K.",2,University,Chung-Ang University,1,"School of Business Administration, Department of Art and Culture Research Institute",2,South Korea,Asia,Developed,N/A,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sharing economy business, strategy characteristics for sustainable competitive advantage, creating shared value (CSV), performance",Quantitative,Path analysis using SPSS and AMOS,Questionnaire,Predictive,"Social value and social capital, strategic networks","Social congruence, consumer participation, information exchange","Lack of trust in B2P and P2P relationships, limitation in shared value networks","Social impact, community participation, sustainability","Collaborative economy, sustainable competitive advantage"
Barriers and Enablers for the Adoption of Sustainable Manufacturing by Manufacturing SMEs,2022,"Alayón, C. L., Säfsten, K., Johansson, G.",3,University,"School of Engineering Jönköping University, Lund University, Mälardalen University",3,Department of Design Sciences,1,N/A,N/A,N/A,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"SMEs, sustainable manufacturing, enablers, barriers, systematic literature review, categorization",Theoretical,Literature review,Database,Conceptual,Sustainable manufacturing,Knowledge networks and social networks,"Management commitment, lack of knowledge","Economic benefits, environmental sustainability","Innovation, sustainability, stakeholder engagement"
Sustainable Business Models of SMEs: Challenges in Yacht Tourism Sector,2018,"Battistella, C., Cagnina, M. R., Cicero, L., Preghenella, N.",4,University,University of Udine,1,"Polytechnic Department of Engineering and Architecture, Department of Economics and Statistics",2,"Italy, Spain, Portugal, Albania",Europe,"Developed, Developing",SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sustainable business model, triple bottom line, yacht tourism, business model innovation, service industry, SMEs, case study research",Qualitative,Case study,Interview,Descriptive,Business model innovation,"Market demand, environmental regulations","Financial constraints, lack of expertise","Economic sustainability, environmental impact","Innovation, sustainability, stakeholder theory"
Corporate Sustainability and Innovation in SMEs: Evidence of Themes and Activities in Practice,2010,"Bos-Brouwers, H. E. J.",1,University,VU University Amsterdam,1,"Faculty of Economics, Business Administration and Econometrics",1,N/A,Europe,N/A,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"sustainable development, corporate sustainability, innovation, SME, organizational performance, case study",Theoretical,Literature review,Literature review,Conceptual,"Innovation theory, sustainable development",Integration of sustainable orientation and innovation processes,Innovation resources,"Innovation, sustainability","Innovation, sustainable development"
Knowledge Management and Performance Measurement Systems for SMEs’ Economic Sustainability,2020,"Cardoni, A., Zanin, F., Corazza, G., Paradisi, A.",4,University,"University of Perugia, University of Udine",2,Department of Economics,1,Italy,Europe,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"economic sustainability, knowledge management (KM), performance measurement systems (PMSs), SMEs, KM exploration, KM exploitation",Theoretical,Literature review,Literature review,Conceptual,"Knowledge management, performance measurement systems","Knowledge management, performance measurement systems",Limited implementation of management and measurement systems,Economic sustainability,Knowledge management
Eco-innovation Capability and Sustainability Driven Innovation Practices in Romanian SMEs,2020,"Ceptureanu, S. I., Ceptureanu, E. G., Popescu, D., Orzan, O. A.",4,University,"The Bucharest University of Economic Studies, University of Medicine and Pharmacy “Carol Davila” Bucharest",2,"Management Department, Department of Oncologic Dermatology",2,Romania,Europe,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"eco-innovation, capability, sustainability driven innovation, innovation practices",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Survey,Predictive,"Natural Resource Based Vision (NRBV), resource-based view (RBV), dynamic capabilities theory (DC)","Eco-innovation capacity, sustainable innovation practices","Limited financial resources, inability to engage with external stakeholders, insufficient market understanding","Green innovation, sustainability","Sustainable innovation, eco-innovation"
An Empirical Study on the Manufacturing Firm’s Strategic Choice for Sustainability in SMEs,2018,"Suh, C. J., Lee, I. T.",2,University,Sogang University,1,Graduate School of Business,1,South Korea,Asia,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sustainability, SMEs, supply chain visibility, modular design, flexibility, agility",Quantitative,Structural equation model (SEM),Survey,Predictive,Dynamic capabilities,"Supply chain visibility, modular design, supply chain flexibility, agility",Operational problems,"Flexibility, agility, sustainability","Dynamic capabilities, supply chain management"
Effects of Socially Responsible Supplier Development and Sustainability-Oriented Innovation on Sustainable Development: Empirical Evidence from SMEs,2017,"Wu, G.-C.",1,University,National Pingtung University,1,Department of Marketing and Distribution Management,1,Taiwan,Asia,Developed,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"sustainable development, socially responsible supplier development, sustainability-oriented innovation, SMEs, Taiwan",Quantitative,Structural equation model (SEM),Survey,Predictive,Sustainability performance,"Development of socially responsible suppliers, innovation oriented towards sustainability",Limited resources and experience,"Sustainable performance, innovation, social responsibility","Sustainability-oriented innovation, supplier development"
Stakeholder engagement processes for the made in Italy small-and medium-sized enterprises: Value co-creation in the stakeholder network,2024,"Giordino, D., Troise, C., Vanhaverbeke, W., Culasso, F.",4,University,"University of Turin, University of Antwerp",2,Department of Management,1,Italy,Europe,Developed,SMEs,"Business Ethics, the Environment & Responsibility",General,"0,8",Q1,"3,6",Q2,"collaborative activities, digital platform, food and beverage industry, partnerships, SMEs, stakeholder engagement",Qualitative,Case study,Interview,Descriptive,"Stakeholder engagement, value co-creation","Stakeholder participation, partnerships",Limitations on stakeholder participation,"Value co-creation, competitiveness, market expansion","Stakeholder theory, value networks"
Institutional Barriers and Facilitators of Sustainability for Indonesian Batik SMEs: A Policy Agenda,2022,"Gunawan, A. A., Bloemer, J., van Riel, A. C. R., Essers, C.",4,University,"Radboud University, Telkom University, Hasselt University",3,Faculty of Economics and Business,1,Indonesia,Asia,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"batik industry, policy recommendations, sustainable entrepreneurship, female entrepreneurs",Qualitative,Interview,Interview,Descriptive,Institutional theory,"Government policies, institutional support","Inadequate regulations, lack of institutional support","Environmental sustainability, cultural and social impact","Corporate social responsibility, sustainable development"
Minimizing the sustainability knowledge-practice gap through creating shared value: The case of small accommodation firms,2024,"Hassanli, N., Williamson, J.",2,University,"University of Technology Sydney, University of South Australia",2,Business School,1,Australia,Australia,Developed,SMEs,Journal of Sustainable Tourism,General,"2,82",Q1,"6,9",Q1,"creating shared value (CSV), product adaption, SMEs, sustainable practices, local food, accommodation product, tourist behaviour",Qualitative,Case study,"Survey, Interview",Descriptive,Creating Shared Value (CSV),"Product adaptation, sustainable practices",Gap between knowledge and practice in sustainability,"Sustainability, social impact, economic value","Sustainability, corporate social responsibility"
Management of Strategic Risks for the Sustainability of SMEs in the Manufacturing Sector in Antioquia,2024,"Jiménez, A., Arrieta, Y., Nuñez, M. A., Villanueva, E.",4,University,Universidad EAFIT,1,School of Management,1,Colombia,Latin America,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"risk management, strategic risks, SMEs, sustainability, manufacturing sector, qualitative methodology",Qualitative,Survey,Survey,Descriptive,Strategic risk management,Identification and management of strategic risks,Lack of resources and knowledge in risk management,"Business sustainability, economic and social impact","Corporate social responsibility, strategic management"
Examining mechanisms for creating shared value by Asian firms,2021,"Khurshid, H., Snell, R. S.",2,University,"Lingnan University, Hang Seng University of Hong Kong",2,Department of Management,1,N/A,Asia,N/A,SMEs,Journal of Business Research,Specific,"3,3",Q1,"10,5",Q1,"creating shared value, bricolage, resource slack, benevolent collaboration",Qualitative,Case study,Interview,Descriptive,Bricolage-based models,"Resource acquisition and utilization, firm motives",Limited resources,"Resource acquisition, resource utilization, firm motives","Bricolage, resource-based view"
Examining distinctions and relationships between Creating Shared Value (CSV) and Corporate Social Responsibility (CSR) in Eight Asia‑based Firms,2022,"Khurshid, H., Snell, R. S.",2,University,"Hong Kong Metropolitan University, The Hang Seng University of Hong Kong",2,Department of Management,1,"Hong Kong, Pakistan, Sri Lanka",Asia,"Developed, Developing",SMEs,Asian Journal of Business Ethics,General,"0,37",Q1,"1,9",Q2,"corporate social responsibility, creating shared value, qualitative, Asia",Qualitative,Interview,Interview,Descriptive,Carroll’s four-layer model of responsible corporate management,"Sustainable business models, simultaneous social and economic value generation",Lack of standard definition of CSV,"Sustainable business model, simultaneous social and economic value","Corporate Social Responsibility (CSR), Carroll’s model"
"The interplay between smart technologies, business sustainability, and environmental sustainability: An empirical analysis of SMEs",2024,"V K, R. K., Saunila, M., Rantala, T., Ukko, J.",4,University,LUT University,1,Department of Industrial Engineering and Management,1,Finland,Europe,Developed,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"business sustainability, empirical analysis, environmental sustainability, smart technologies, SMEs, structural equation modeling (SEM)",Quantitative,Structural equation model (SEM),Survey,Predictive,"Smart technologies, business sustainability, environmental sustainability",Integration of smart technologies,"Limitations of the application of smart technologies, limited resources",Business and environmental sustainability,"Smart technologies, sustainability"
Responsible innovation and sustainable competitive advantage: is big data the missing link?,2024,"Riaz, A., Ali, F. H.",2,University,University of the Punjab,1,Hailey College of Commerce,1,Pakistan,Asia,Developing,SMEs,Business Process Management Journal,Specific,"0,91",Q1,"4,5",Q1,"responsible innovation, big data analytics capability, SMEs, sustainability",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Questionnaire,Predictive,Dynamic capability theory,"Organizational flexibility, shared vision, responsible innovation, big data analysis capacity",Bureaucracy of relations,"Responsible innovation, sustainable competitive advantage","Innovation, big data analytics, competitive advantage"
The Role of Creating Shared Value and Entrepreneurial Orientation in Generating Social and Economic Benefits: Evidence from Korean SMEs,2023,"Seo, J., Lee, J., Jung, S., Park, S.",4,University,"Dong-A University, Sookmyung Women’s University",2,"Institute for Education Innovation, Division of Business Administration",2,South Korea,Asia,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"entrepreneurial orientation, creating shared value, social and economic benefits, firm performance, SMEs",Quantitative,Structural equation model (SEM),Survey,Predictive,"Entrepreneurial orientation, creation of shared value",Managers' interest in EO and its relationship with CSV,"Lack of knowledge, limited resources",Social and economic benefits,Entrepreneurial orientation
Challenges to Responsible Value Creation During the Covid‑19 Pandemic: A Multiple Case Study on SMEs’ Transformative Responses,2024,"Silva, H. P., Lehoux, P., Sabio, R. P.",3,University,University of Montreal,1,"Public Health Research Center (CReSP), Department of Health Management, Evaluation and Policy",2,"Canada, Brazil","North America, Latin America","Developed, Developing",SMEs,Journal of the Knowledge Economy,General,"0,69",Q2,"4,0",Q1,"covid-19, small and medium-sized enterprises, responsible innovation in health, entrepreneurship, business model",Qualitative,Case study,Interview,Descriptive,Multi-level model of business model challenges for responsible value creation,Transformative responses to challenges during the pandemic,"Pre-existing business vulnerabilities, supply chain disruptions","Creating economic, social and environmental value through responsible innovations","Responsible innovation, business sustainability"
Maintaining Sustainable Practices in SMEs: Insights from Sweden,2020,"Tsvetkova, D., Bengtsson, E., Durst, S.",3,University,Tallinn University of Technology,1,Department of Business Administration,1,Sweden,Europe,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"sustainability, sustainable practice, SMEs, drivers, maintenance",Qualitative,Interview,Interview,Descriptive,Triple Bottom Line (TBL),"Government, networks and alliances, suppliers, customers, employees, organizational culture, competitive advantage",Abandonment of sustainable practices,"Economy, social impact, ecological value","Innovation, social responsibility, stakeholder theory"
Value mapping for sustainable business thinking,2015,"Bocken, N. M. P., Rana, P., Short, S. W.",3,University,University of Cambridge,1,Department of Engineering,1,"Italy, Netherlands, United Kingdom, United States, France","Europe, North America",Developed,"SMEs, Large enterprises, Start-ups, ONGs",Journal of Industrial and Production Engineering,Specific,"0,75",Q1,"4,0",Q2,"sustainable consumption and production, stakeholders, business model, business model innovation, shared value creation, systems thinking",Qualitative,Value mapping,Workshop,Descriptive,"Sustainable business models, creating shared value",Integrating sustainability into business models,Lack of tools to identify sustainable value opportunities,"Economy, social impact, ecological value","Business innovation, sustainability, stakeholder theory"
Why Sustainable Development Requires Societal Innovation and Cannot Be Achieved without This,2020,"Diepenmaat, H., Kemp, R., Velter, M.",3,University,"Maastricht University, Fontys University of Applied Sciences",2,"Maastricht Sustainability Institute, Fontys Centre of Expertise on Circular Transitions",2,N/A,N/A,N/A,N/A,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"innovation, societal innovation, sustainability, transitions, recursive perspectivism, boundary work",Theoretical,Literature review,Literature review,Conceptual,"Social innovation, sustainable development","Social innovation, collaboration between social actors","Lack of systemic innovation, resistance to change","Social innovation, systemic change, sustainable development","Business innovation, sustainability, systems theory"
Responsible Digital Transformation for a Sustainable Society,2023,"Pappas, I. O., Mikalef, P., Dwivedi, Y. K., Jaccheri, L., Krogstie, J.",5,"University, Research organization","University of Agder, Norwegian University of Science and Technology, SINTEF, Swansea University, Symbiosis International (Deemed University)",5,"School of Management, Symbiosis Institute of Business Management Pune",2,N/A,N/A,N/A,N/A,Information Systems Frontiers,Specific,"1,58",Q1,"6,9",Q1,"responsible digital transformation, responsible AI, responsible digitalization, sustainability, human-centered AI, industry 5.0",Theoretical,Literature review,Literature review,Conceptual,"Corporate Digital Responsibility (CDR), Industry 5.0","Academia-industry collaboration, responsible digital business models","Lack of systematic approaches, challenges in integrating sustainability","Sustainability, digital responsibility, digital transformation","Corporate social responsibility, business sustainability"
"Corporate Economic, Environmental, and Social Sustainability Performance Transformation through ESG Disclosure",2020,"Alsayegh, M. F., Rahman, R. A., Homayoun, S.",3,University,"King Abdulaziz University, University of Gavle",2,Department of Accounting,1,"Japan, Taiwan, among others",Asia,"Developed, Developing",Large enterprises,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"environmental, social, governance (ESG), corporate performance, sustainability, Asia",Quantitative,Regression,ESG Index Database,Predictive,"Disclosure theory, corporate sustainability","ESG disclosure, economic, environmental and social performance",Lack of transparency in ESG disclosure,"Economic, environmental and social performance","Corporate social responsibility, business sustainability"
Sustainable digital transformation in small and medium enterprises (SMEs): A review on performance,2023,"Costa Melo, I., Alves Queiroz, G., Nocera Alves Junior, P., Botelho de Sousa, T., Yushimito, W. F., Pereira, J.",6,University,"Universidad Católica del Norte, Universidade do Estado de Minas Gerais, Federal Institute of Education, Science, and Technology of Sao Paulo, Universidad Adolfo Ibáñez, UPF",5,"Engineering Department, School of Management",2,N/A,N/A,N/A,SMEs,Heliyon,General,"0,62",Q1,"3,4",Q1,"digitalization, small and medium-sized enterprises (SMEs), industry 4.0, triple bottom line (TBL) of sustainability, sustainable development goals (SDG)",Theoretical,Literature review,Literature review,Conceptual,Triple bottom line (TBL),"Digital transformation, sustainability",N/A,"Economic development, sustainability","Digital transformation, sustainability"
Eco-innovation and performance of SMEs in Ecuador,2023,"Michalski, M., Montes-Botella J. L., Guevara Piedra, W.",3,University,"San Francisco de Quito University, Rey Juan Carlos University, UNEMI",3,Business School,1,Ecuador,Latin America,Developing,SMEs,Academia Revista Latinoamericana de Administración,Specific,"0,36",Q2,"1,3",Q3,"eco-innovation, sustainable development, environment, organizational performance",Quantitative,Structural equation model (SEM),Survey,Predictive,Institutional theory,Managers,Limited financial resources,"Organizational performance, eco-innovation","Innovation, sustainability"
Creating and Capturing Value Through Sustainability,2017,"Yang, M., Vladimirova, D., Evans, S.",3,University,University of Cambridge,1,Centre for Industrial Sustainability,1,"United Kingdom, China, Brazil, Spain, United States","Europe, Asia, Latin America, North America","Developed, Developing","SMEs, Large enterprises",Research-Technology Management,Specific,"0,63",Q2,"1,7",Q3,"sustainable value analysis tool, sustainability, business model innovation, sustainability-focused innovation",Qualitative,Development of conceptual tool,Workshops,Descriptive,Innovation in sustainable business models,"Senior Management, Sustainable value tool","Missed opportunities, disconnect between stakeholders, uncaptured value","Sustainability, life cycle analysis","Innovation, sustainability, business models"
Connection to nature and sustainability in small- and medium- sized environmental organizations: A dynamic strategic thinking approach,2022,"Karami, A., Gorzynski, R. A.",2,University,Bangor University,1,Bangor Business School,1,United Kingdom,Europe,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"connection to nature, environmental sector, praxis, purpose-driven organizations, small- and medium- sized organizations, stakeholder management, strategic thinking, sustainability",Qualitative,Case study,Interview,Descriptive,Dynamic strategic thinking,"Connection to nature, sustainability practices",N/A,"Environmental sustainability, strategic thinking","Sustainability, strategic management"
Incentive Contracts for Sustainable Growth of Small or Medium-Sized Enterprise,2021,"Park, D., Jo, J., Ryu, D.",3,"University, Government agency","Sungkyunkwan University, Financial Supervisory Service",2,College of Economics,1,"United States, South Korea","North America, Asia",Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"corporate social responsibility, creating shared value, incentive contract, public procurement, supply chain, sustainable growth",Quantitative,Game-theoretic models,Database,Predictive,Game theory,"Incentive contracts, collaboration in the supply chain","Information asymmetries, size differences between companies","Sustainable growth, public-private collaboration","Sustainability, supply chain management"
Toward holistic corporate sustainability—Developing employees' action competence for sustainability in small and medium-sized enterprises through training,2022,"Schroder, S., Wiek, A., Farny, S., Luthardt, P.",4,"University, Company","Leuphana University of Lüneburg, Arizona State University, Bohlsener Mühle",3,School of Sustainability,1,Germany,Europe,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"employee engagement, sustainability-oriented workforce, sustainable human resource management, sustainable workforce education, transdisciplinary case study",Qualitative,Case study,Interview,Descriptive,Theory of change,"Employee training, organizational commitment","Resource limitations, resistance to change","Corporate sustainability, skills development","Corporate social responsibility, sustainable development"
The role of small‑ and medium‑sized practices in the sustainable transition of SMEs,2023,"Ortiz, E., Marín, S., Thompson, P.",3,"Organization, University","European Federation of Accountants and Auditors for SMEs (EFAA), University of Murcia",2,Department of Accounting and Finance,1,N/A,Europe,N/A,SMEs,"Environment, Development and Sustainability",Specific,"0,89",Q1,"4,7",Q2,"sustainability reporting, sustainability information, sustainability assurance, SMEs, SMPs, EFAA",Qualitative,Focus group,Survey,Descriptive,"Agency theory, stakeholder theory, legitimacy theory","Sustainability practices, accountants",Limited resources,"Sustainable transition, sustainability reports",Accounting practices
Barriers to a circular economy in small- and medium-sized enterprises and their integration in a sustainable strategic management framework,2022,"Takacs, F., Brunner, D., Frankenberger, K.",3,University,"University of St. Gallen, University of Lausanne",2,"Institute of Management and Strategy, Centre of Public Law & IDHEAP",2,Switzerland,Europe,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"circular economy, implementation barriers, corporate sustainability, sustainable strategic management, small- and medium-sized enterprises",Qualitative,Interview,Interview,Descriptive,Grounded theory,"Awareness, co-creation processes and partnerships with diverse stakeholders",Internal and external factors,Business sustainability,"Sustainable strategic management, circular economy"
The effectiveness of appropriation mechanisms for sustainable innovations from small and medium-sized enterprises,2022,"Morales, P., Flikkema, M., Castaldi, C., de Man, A.-P.",4,University,"Vrije Universiteit Amsterdam, Utrecht University",2,"Department of Management and Organization, Department of Human Geography and Spatial Planning",2,Netherlands,Europe,Developed,SMEs,Journal of Cleaner Production,Specific,"2,06",Q1,"9,8",Q1,"innovation, intellectual property rights, sustainability, appropriation",Quantitative,Regression,Database,Exploratory,Theory of appropriation mechanisms,Use of appropriation mechanisms,Product complexity,"Sustainable innovation, commercial success","Innovation, sustainability, economic performance"
Assessing the Influence of Green Innovation on the Market Performance of Small- and Medium-Sized Enterprises,2022,"Zheng, S., Ye, X., Guan, W., Yang, Y., Li, J., Li, B.",6,University,"Guilin University of Electronic Technology, Nanning University, Hainan University",3,School of Business,1,China,Asia,Developed,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"green innovation, market performance, green innovation culture, marketing innovation, product innovation, small- and medium-sized enterprises",Quantitative,Structural equation model (SEM),Survey,Predictive,"Resource-Based View (RBV), Dynamic Capabilities Theory","Green innovation, market performance",N/A,"Economic impact, Environmental sustainability","Innovation, sustainability, green marketing"
The Adoption of Digital Technologies by Small and Medium-Sized Enterprises for Sustainability and Value Creation in Pakistan: The Application of a Two-Staged Hybrid SEM-ANN Approach,2024,"Soomro, R. B., Memon, S. G., Dahri, N. A., Al-Rahmi,W. M., Aldriwish, K., Salameh, A. A., Al-Adwan, A. S., Saleem, A.",8,University,"Shah Abdul Latif University, Government College for Women, Universiti Teknologi Malaysia, Dar Al Uloom University, Majmaah University, Prince Sattam Bin Abdulaziz University, Al-Ahliyya Amman University, University of Limerick",8,"School of Education, College of Business Administration, College of Computer Sciences and Information Technology",3,Pakistan,Asia,Developing,SMEs,Sustainability,Specific,"0,67",Q1,"3,3",Q2,"digital technologies, small and medium-sized enterprises (SMEs), economic value creation, social value creation, sustainability, hybrid modeling",Quantitative,"SEM, ANN",Survey,Predictive,"Technology-Organization-Environment (TOE) Framework, Diffusion of Innovation (DOI) Theory",Digital technology adoption,"High implementation costs, lack of technical expertise","Economic impact, social impact, environmental sustainability","Blockchain technology, big data, artificial intelligence, economic value, social value"
Does digitalisation enable small and medium-sized enterprises to become more sustainable?,2024,"Trueba-Castañeda, L., Somohano-Rodríguez, F. M., Torre-Olmo, B.",3,"University, Institute","Universidad de Cantabria, Santander Financial Institute",2,N/A,N/A,Spain,Europe,Developed,SMEs,Corporate Social Responsibility and Environmental Management,Specific,"2,2",Q1,"8,3",Q1,"digitalisation, efficiency, performance, SDGs, SMEs, sustainability",Quantitative,Partial Least Squares Structural Equation Modeling (PLS-SEM),Questionnaire,Exploratory,Resource-Based View Theory (RBV),"Digitalization, investment in technologies",Bureaucratic barriers,"Sustainability, environmental responsibility","Efficiency, performance"
"Stakeholder pressure, green innovation, and performance in small and medium-sized enterprises: The role of green dynamic capabilities",2021,"Singh, S. K., Del Giudice, M., Chiappetta Jabbour, C. J., Latan, H., Sohal, A. S.",5,University,"Maynooth University, Link Campus University, HSE University, Paris School of Business, EmLyon Business School, Lincoln International Business School, Monash University",7,School of Business,1,United Arab Emirates,Asia,Developed,SMEs,Business Strategy and the Environment,Specific,"3,67",Q1,"12,5",Q1,"emerging markets, firm performance, green dynamic capability, green innovation, SMEs, stakeholder pressure",Quantitative,PLS-PM,Survey,Predictive,"Stakeholder theory, dynamic capabilities","Stakeholder pressure, green dynamic capabilities",N/A,"Green innovation, business performance","Innovation, sustainability"
